movieID,NumPositiveRatings,Title,Genres,PosterURL,PopularityScore
2858,2853,American Beauty (1999),Multiple,https://liangfgithub.github.io/MovieImages/2858.jpg,3428
260,2622,Star Wars: Episode IV - A New Hope (1977),Multiple,https://liangfgithub.github.io/MovieImages/260.jpg,2991
1196,2510,Star Wars: Episode V - The Empire Strikes Back (1980),Multiple,https://liangfgithub.github.io/MovieImages/1196.jpg,2990
2028,2260,Saving Private Ryan (1998),Multiple,https://liangfgithub.github.io/MovieImages/2028.jpg,2653
1198,2260,Raiders of the Lost Ark (1981),Multiple,https://liangfgithub.github.io/MovieImages/1198.jpg,2514
593,2252,"Silence of the Lambs, The (1991)",Multiple,https://liangfgithub.github.io/MovieImages/593.jpg,2578
2571,2171,"Matrix, The (1999)",Multiple,https://liangfgithub.github.io/MovieImages/2571.jpg,2590
2762,2163,"Sixth Sense, The (1999)",Thriller,https://liangfgithub.github.io/MovieImages/2762.jpg,2459
1210,2127,Star Wars: Episode VI - Return of the Jedi (1983),Multiple,https://liangfgithub.github.io/MovieImages/1210.jpg,2883
608,2074,Fargo (1996),Multiple,https://liangfgithub.github.io/MovieImages/608.jpg,2513
527,2071,Schindler's List (1993),Multiple,https://liangfgithub.github.io/MovieImages/527.jpg,2304
318,2046,"Shawshank Redemption, The (1994)",Drama,https://liangfgithub.github.io/MovieImages/318.jpg,2227
589,2044,Terminator 2: Judgment Day (1991),Multiple,https://liangfgithub.github.io/MovieImages/589.jpg,2649
858,1989,"Godfather, The (1972)",Multiple,https://liangfgithub.github.io/MovieImages/858.jpg,2223
110,1977,Braveheart (1995),Multiple,https://liangfgithub.github.io/MovieImages/110.jpg,2443
1197,1924,"Princess Bride, The (1987)",Multiple,https://liangfgithub.github.io/MovieImages/1197.jpg,2318
1270,1910,Back to the Future (1985),Multiple,https://liangfgithub.github.io/MovieImages/1270.jpg,2583
2396,1877,Shakespeare in Love (1998),Multiple,https://liangfgithub.github.io/MovieImages/2396.jpg,2369
1617,1876,L.A. Confidential (1997),Multiple,https://liangfgithub.github.io/MovieImages/1617.jpg,2288
296,1770,Pulp Fiction (1994),Multiple,https://liangfgithub.github.io/MovieImages/296.jpg,2171
2997,1759,Being John Malkovich (1999),Comedy,https://liangfgithub.github.io/MovieImages/2997.jpg,2241
